CO_ID;LAT_N;SALIDA;AJI_D1;AJI_D2;AJI_D3;AJI_D4;AJI_D5;AJI_D6;AJI_D7;AJI_D8;AJI_D9;AJI_D10;AJI_D11;AJI_D13;AJI_D14;AU1;AU2;AU3;AU4;AU5;AU6;AU7;AU8;AU9;AU10;AU11;AU12;AU13;AU14;CIL1;CIL2;CIL3;CIL4;CIL5;CIL6;CIL7;CIL8;CIL9;CIL10;CIL11;CIL12;CIL13;CIL14;LIM1;LIM2;LIM3;LIM4;LIM5;LIM6;LIM7;LIM8;LIM9;LIM10;LIM11;LIM12;LIM13;LIM14;MORO1;MORO2;MORO3;MORO4;MORO5;MORO6;MORO7;MORO8;MORO9;MORO10;MORO11;MORO12;MORO13;MORO14;NA1;NA2;NA3;NA4;NA5;NA6;NA7;NA8;NA9;NA10;NA11;NA12;NA13;NA14;AOESV1;MacizoG4;ESTACIONALIDAD;N_RIO
32_180812;6,588; ;1;1;55;;1;15;0;0;0;2;5;0;0;1;1;   ;;1;10;0;5; ;6;5;4;4;0;1;1; ;;1;12;0;0.00;0;28;5;4;2;0;1;1;   ;;1;10;0;0;0;59;3;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
78_250812;5,689170556; ;1;1;   ;;2;  ;0;0;0;2;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
141_121012;5,601283889; ;1;1;186;3;2;  ;0;0;0;2;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1; ;40;17;5;0;0.00;0;28;5;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3
249_120113;5,6481494; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;47;100;13;20;0;0;0;70;3; ; ; ;0;0;2;3
432_80613;6,442924167;5;1;1;65;1;2;  ;0;0;0;2;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
212_81112;5,66810347; ;1;1;57;30;1;20;1;15; ;2;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3
