AJI_PI
AJI_D
AJI_M
ALM
AN
AU
BB_A1
BC_C1
BC_PA1
BC_V1
BG
BG_R
BG_S
BT
BG_BP
BCH1
BOCON1
BJ
CACAO 
CHMTO
CAJA
CAZUC1
CARIB 
Caru
CSB
CSB_AL1
CT_1
CEB
CHIQ
CIL 
COC
COP
COPOR
GRUY
CUC_S
CUR
DNT-S
DLEC 
FRI
GALL
GUAD
GUAM
GUAR
ARA
HAR_PJ 
HAR_PL
HE_MO 
HE_SE
HE_SM 
HI_TA
HO_HA
HU_PA
HU_GA
HU_TE
JEN
JU_CO
JU_MA
JU_SE
JU_SPQ
LAI
LECH 
L_BRA
LIM
M_CA 
JOJ
MAMO 
MAMU 
MANA 
MAND 
MNTQ 
MAÑ_P
MAÑo 
MAP
M_MOR
M_CCH
MAZ
ME
MIEL 
MI_AR
MRCH 
MORO 
MORO_
MORO_
NA 
NJLLO
ÑAM
OCU
OCU_C
MAP_S
ONOT 
ORE
PLTA 
PAR_M
P_MRC
PVN_L
PAY
PAY_A
PEN
PES_A 
PES_E
PES_AS
PES_T
PES_S
PES_P
PIC 
PIJ 
PIJ_S
PIÑ 
POL 
P_COP
QS_LL
RAY 
SAPO 
SARD_A
SAR_P
SEJ_G
SEJ_P
TEM 
TEMT 
TOM 
TOT 
TUPT 
TUP 
VQR 
VQR_A
YAR 
YUCA 
YCT_M
YURI 
TOP 
SEM_C
PLA
CAMB
CAMB_M
CAMB_T
LAPA
Niña
